Title,Word count,#REF!,Type,S.E. omnibus name,In omnibus?,Date published,#REF!,First published in,Also published in,Alternate title(s),Transcription,Page scans,Notes,Custom columns...,by Cowper,Book Number,Hymn Number,Reference or Section,First Line,Meter,Sub-section,Notes
The Lord Is My Portion,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.LAM.h1_69.html,https://archive.org/details/worksofrevjohnne03newt/page/382/mode/1up,,,No,I,LXIX,LAM 3:24,From pole to pole let others roam,"8,6,8,6",,
Humbled And Silenced By Mercy,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.EZE.h1_70.html,https://archive.org/details/worksofrevjohnne03newt/page/383/mode/1up,,,No,I,LXX,EZK 16:63,Once perishing in blood I lay,"8,6,8,6",,
The Covenant,,,,,FALSE,,,,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.EZE.h1_71.html,https://archive.org/details/worksofrevjohnne03newt/page/384/mode/1up,,,Yes,I,LXXI,EZK 36:25-28,The Lord proclaims his grace abroad!,"8,8,8,8",,
Jehovah-Shammah,,,,,FALSE,,,,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.EZE.h1_72.html,https://archive.org/details/worksofrevjohnne03newt/page/385/mode/1up,,,Yes,I,LXXII,EZK 48:35,As birds their infant brood protect,"8,8,8,8",,
The Power and Triumph of Faith,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.DAN.h1_73.html,https://archive.org/details/worksofrevjohnne03newt/page/386/mode/1up,,,No,I,LXXIII,DAN 3:6,Supported by the word,"6,6,6,6,8,8",,
Belshazzar,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.DAN.h1_74.html,https://archive.org/details/worksofrevjohnne03newt/page/387/mode/1up,,,No,I,LXXIV,"DAN 5:5,6",Poor sinners! little do they think,"8,6,8,6",,
The Gourd,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.JON.h1_75.html,https://archive.org/details/worksofrevjohnne03newt/page/388/mode/1up,,,No,I,LXXV,JON 4:7,"As once for Jonah, so the Lord","8,8,8,8",,
Prayer For The Lord'S Promised Presence,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.ZEC.h1_76.html,https://archive.org/details/worksofrevjohnne03newt/page/389/mode/1up,,,No,I,LXXVI,ZEC 2:10,Son of God ! thy people shield !,"7,7,7,7",,
A Brand Plucked out of the Fire,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.ZEC.h1_77.html,https://archive.org/details/worksofrevjohnne03newt/page/390/mode/1up,,,No,I,LXXVII,ZEC 3:1-5,"With Satan, my accuser near","8,8,8,8",,
On One Stone Shall Be Seven Eyes,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.ZEC.h1_78.html,https://archive.org/details/worksofrevjohnne03newt/page/391/mode/1up,,,No,I,LXXVIII,ZEC 3:9,"Jesus Christ, the Lord's anointed","8,7,8,7,11",,
Praise For The Fountain Opened,,,,,FALSE,,,,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.ZEC.h1_79.html,https://archive.org/details/worksofrevjohnne03newt/page/392/mode/1up,,,Yes,I,LXXIX,ZEC 13:1,There is a fountain filled with blood,"8,6,8,6",,
