Title,Word count,#REF!,Type,S.E. omnibus name,In omnibus?,Date published,#REF!,First published in,Also published in,Alternate title(s),Transcription,Page scans,Notes,Custom columns...,by Cowper,Book Number,Hymn Number,Reference or Section,First Line,Meter,Sub-section,Notes
Freedom from Care,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book3.comfort.h3_55.html,https://archive.org/details/worksofrevjohnne03newt/page/627/mode/1up,,,No,III,LV,"Seeking, Pleading, and Hoping.",While I liv'd without the Lord,"7,7,7,7",,
Humiliation and Praise,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book3.comfort.h3_56.html,https://archive.org/details/worksofrevjohnne03newt/page/628/mode/1up,,,No,III,LVI,"Seeking, Pleading, and Hoping.",When the wounded spirit hears,"7,6,7,6,7,7,7,6",,
For the Poor,,,,,FALSE,,,,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book3.comfort.h3_57.html,https://archive.org/details/worksofrevjohnne03newt/page/630/mode/1up,,,Yes,III,LVII,"Seeking, Pleading, and Hoping.",When Hagar found the bottle spent,"8,6,8,6",,
Home in View,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book3.comfort.h3_58.html,https://archive.org/details/worksofrevjohnne03newt/page/631/mode/1up,,,No,III,LVIII,"Seeking, Pleading, and Hoping.",As when the weary trav'ller gains,"8,8,8,8",,
Old Things Are Passed Away,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book3.dedicate.h3_59.html,https://archive.org/details/worksofrevjohnne03newt/page/632/mode/1up,,,No,III,LIX,"Seeking, Pleading, and Hoping.",Let worldly minds the world pursue,"8,6,8,6",Dedication And Surrender,
The Power of Grace,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book3.dedicate.h3_60.html,https://archive.org/details/worksofrevjohnne03newt/page/633/mode/1up,,,No,III,LX,"Seeking, Pleading, and Hoping.",Happy the birth where grace presides,"8,6,8,6",,
My Soul Thirsteth for God,,,,,FALSE,,,,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book3.dedicate.h3_61.html,https://archive.org/details/worksofrevjohnne03newt/page/634/mode/1up,,,Yes,III,LXI,"Seeking, Pleading, and Hoping.","I thirst, but not as once I did","8,8,8,8",,
Love Constraining To Obedience,,,,,FALSE,,,,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book3.dedicate.h3_62.html,https://archive.org/details/worksofrevjohnne03newt/page/634/mode/1up,,,Yes,III,LXII,"Seeking, Pleading, and Hoping.",No strength of nature can suffice,"8,6,8,6",,
The Heart Healed And Changed By Mercy,,,,,FALSE,,,,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book3.dedicate.h3_63.html,https://archive.org/details/worksofrevjohnne03newt/page/635/mode/1up,,,Yes,III,LXIII,"Seeking, Pleading, and Hoping.",Sin enslav'd me many years,"7,6,7,6,7,7,7,6",,
Hatred of Sin,,,,,FALSE,,,,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book3.dedicate.h3_64.html,https://archive.org/details/worksofrevjohnne03newt/page/636/mode/1up,,,Yes,III,LXIV,"Seeking, Pleading, and Hoping.",Holy Lord God ! I love thy truth,"8,8,8,8",,
The Child,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book3.dedicate.h3_65.html,https://archive.org/details/worksofrevjohnne03newt/page/637/mode/1up,,,No,III,LXV,"Seeking, Pleading, and Hoping.","Quiet, Lord, my froward heart","7,6,7,6,7,7",,
True Happiness,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book3.dedicate.h3_66.html,https://archive.org/details/worksofrevjohnne03newt/page/638/mode/1up,,,No,III,LXVI,"Seeking, Pleading, and Hoping.",Fix my heart and eyes on thine,"7,7,7,7",,
The Happy Debtor,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book3.dedicate.h3_67.html,https://archive.org/details/worksofrevjohnne03newt/page/639/mode/1up,,,No,III,LXVII,"Seeking, Pleading, and Hoping.",Ten thousand talents once Iow'd,"8,6,8,6",,
The New Convert,,,,,FALSE,,,,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book3.caution.h3_68.html,https://archive.org/details/worksofrevjohnne03newt/page/640/mode/1up,,,Yes,III,LXVIII,"Seeking, Pleading, and Hoping.",The new-born child of Gospel grace,"8,8,8,8",Cautions,
True and False Comforts,,,,,FALSE,,,,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book3.caution.h3_69.html,https://archive.org/details/worksofrevjohnne03newt/page/641/mode/1up,,,Yes,III,LXIX,"Seeking, Pleading, and Hoping.","O God, whose favourable eye","8,6,8,6",,
True and False Zeal,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book3.caution.h3_70.html,https://archive.org/details/worksofrevjohnne03newt/page/642/mode/1up,,,No,III,LXX,"Seeking, Pleading, and Hoping.",Zeal is that pure and heav’nly flame,"8,6,8,6",,
